Descrizione;k;k_packaging
Pere Butirre;4.8;Sfuso
Pere Carmen;4.8;Sfuso
Pere Carmen Bio;1;
Pere Conference;4.8;Sfuso
Pere Conference Bio;1;
Pere Coscia;4.8;Sfuso
Pere D'Anjou;4.8;Sfuso
Pere Decana;4.8;Sfuso
Pere Decana Bio;1;
Pere Ercoline;4.8;Sfuso
Pere Forelle;4.8;Sfuso
Pere Guyot;4.8;Sfuso
Pere Guyot Bio;1;
Pere Kaiser;4.8;Sfuso
Pere Kaiser Bio;1;
Pere Madernas;4.8;Sfuso
Pere Nashi;4.8;Sfuso
Pere Packam's;4.8;Sfuso
Pere Packam's Bio;1;
Pere Santa Maria;4.8;Sfuso
Pere Spinelli;4.8;Sfuso
Pere Williams Bianche;4.8;Sfuso
Pere Williams Bianche Bio;1;
Pere Williams Rosse;4.8;Sfuso
Pere Williams Rosse Bio;1;
Perine Siciliane;1;
Perla Dei Greci;1;
Pesce / Piccione / Campanello B.A.;1;
Pesce / Piccione / Campanello Vitello;1;
Pesce Spada Grigliato;1;
Pesce Spada Yuzu;1;
Pesche Bianche;0.12;Cestino / Vassoio o Busta / Sottovuoto / Skin
Pesche Gialle;0.12;Cestino / Vassoio o Busta / Sottovuoto / Skin
Pesche Gialle Bio;1;
Pesche Nettarine / Noci  Bianche;0.12;Cestino / Vassoio o Busta / Sottovuoto / Skin
Pesche Nettarine / Noci Bianche Bio;1;
Pesche Nettarine / Noci Gialle;0.12;Cestino / Vassoio o Busta / Sottovuoto / Skin
Pesche Nettarine / Noci Gialle Bio;1;
Pesche Percoche;0.12;Cestino / Vassoio o Busta / Sottovuoto / Skin
Pesche Rosse;0.12;Cestino / Vassoio o Busta / Sottovuoto / Skin
Pesche Saturnine Tabacchiere;0.12;Cestino / Vassoio o Busta / Sottovuoto / Skin
Pesche Saturnine Tabacchiere Bio;1;
Pestato Di Olive;1;
Pestato Di Olive Acciughe E Capperi;1;
Pestato Di Olive Carciofi;1;
Pestato Di Olive E Funghi;1;
Pestato Di Olive E Melanzane;1;
Pestato Di Olive Piccanti;1;
Pesto Alla Genovese;1;
Pettirosso;1;
Petto / Fesa Tranci Vitello;1;
Petto / Prosciutto Di Pollo Arrosto (Salume);1;
Petto A Fette Impanato Pollo;1;
Petto A Fette Pollo;11.34;
Petto Anatra;1;
Petto Di Pollo Gastronomia;1;
Petto Intero Pollo;7.95;
Petto Quaglia;1;
Pezza / Samone Vitello;1;
Pezza / Scamone B.A.;1;
Pezzogna;1;
Piacentinu Ennese;1;
Piattone;1;
Piave Fresco;1;
Piave Mezzano;1;
Piave Vecchio;1;
Piave Vecchio Riserva;1;
Piave Vecchio Sel. Oro;1;
Picanha B.A.;1;
Picanha Piemontese B.A.;1;
Picanha Scottona B.A.;1;
Piccione In Part / A Pezzi;1;
Piccione Intero / Busto;1;
Piccolo Cuore;1;
Picolin;1;
Pie' D'Asino;1;
Pimento;1;
Pincion;1;
Pinoli;1;
Pinoli Bio;1;
Pinoli Sgusciati;1;
Piselli;1;
Piselli Bio;1;
Piselli Decorticati;1;
Piselli Secchi;1;
Pistacchi;1;
Pistacchi Senza Sale;1;
Pistacchi Sgusciati;1;
Pistacchi Tostati;1;
Pistacchi Tostati E Salati;1;
Pistaricco;1;
Pitaya;1;
Pitaya Rossa;1;
Piticheddu;1;
Pizza Al Carbone;1;
Pizza Alla Diavola;1;
Pizza Bianca;1;
Pizza Con Funghi;1;
Pizza Condita;1;
Pizza Farcita / Ripiena Trancio;1;
Pizza Integrale;1;
Pizza Margherita;1;
Pizza Margherita Trancio;1;
Pizza Rossa;1;
Pizza Sarda;1;
Pizza Vegana;1;
Pizza Vegetariana;1;
Pizzoccheraia;1;
Platano;1;
Platessa;1.16;
Platessa Mugnaia;1;
Polenta Fritta;1;
Pollo A Pezzi Allevato A Terra;1;
Pollo Al Curry Gastronomia;1;
Pollo Allo Spiedo;1;
Pollo Allo Spiedo Allevato A Terra;1;
Pollo Arrosto Allevato A Terra;1;
Pollo Arrosto Gastronomia;1;
Pollo Diavola Gastronomia;1;
Pollo Fritto;1;
Pollo In Parti / A Pezzi;1;
Pollo In Parti / A Pezzi Condito;1;
Pollo In Parti / A Pezzi Ruspante;1;
Pollo Intero / Busto;5.91;
Pollo Intero / Busto Alla Diavola;5.91;
Pollo Intero / Busto Allevato A Terra;5.91;
Pollo Intero / Busto Ruspante;5.91;
Pollo Ripieno;1;
Pollo Tonn├¿;1;
Polmone B.A.;1;
Polmone E Milza B.A;1;
Polpa / Sottofesa Con Osso Piemontese B.A;1;
Polpa / Sottofesa Senza Osso Piemontese B.A;1;
Polpa A Tranci B.A;4.43;
Polpa A Tranci Chianina B.A;1;
Polpa Arrosto Equino;1;
Polpa Coscia B.A;4.43;
Polpa Manzo All'Inglese / Roastbeef;1;
Polpa Scelta Con Osso B.A.;4.43;
Polpa Scelta Con Osso Vitello;0.75;
Polpa Scelta Scottona B.A.;1;
Polpa Scelta Senza Osso B.A.;4.43;
Polpa Scelta Senza Osso Vitello;0.75;
Polpa Sceltissima Con Osso B.A.;4.43;
Polpa Sceltissima Con Osso Vitello;0.75;
Polpa Sceltissima Senza Osso B.A.;4.43;
Polpa Sceltissima Senza Osso Vitello;0.75;
Polpa Senza Osso Cinghiale;1;
Polpa Senza Osso Suino;1;
Polpa Spalla Piemontese B.A;1;
Polpette B.A.;1;
Polpette Chianina B.A.;1;
Polpette Con Formaggio Tacchino E Suino;1;
Polpette Con Spinaci Tacchino E Suino;1;
Polpette Condite;1;
Polpette Di Pesce Spada;1;
Polpette Miste (B.A. E Suino);1;
Polpette Miste B.A E Vitello;1;
Polpette Pollo ;1;
Polpette Pollo E Tacchino ;1;
Polpette Suino;1;
Polpette Tacchino ;1;
Polpette Tacchino Condite;1;
Polpette Tacchino E Suino;1;
Polpette Vitello;1;
Polpettone B.A.;1;
Polpettone In Crosta;1;
Polpettone Misto ( Pollo Suino Tacchino);1;
Polpettone Pollo;1;
Polpettone Tacchino;1;
Polpo;3.5;
Polpo Arricciato;3.5;
Polpo Precotto;1;
Polpo Verace;3.5;
Pomelo Disidratato;1;
Pomelo Giallo;1;
Pomelo Rosso;1;
Pomodori Camone / Majore;4.5;Sfuso
Pomodori Cencara;1;
Pomodori Ciliegino;4.5;Sfuso
Pomodori Ciliegino Bio;1;
Pomodori Ciliegino Crispino nero;4.5;Sfuso
Pomodori Ciliegino Giallo;4.5;Sfuso
Pomodori Ciliegino IGP / Pachino;4.5;Sfuso
Pomodori Ciliegino Secchi;1;
Pomodori Costoluto;4.5;Sfuso
Pomodori Costoluto IGP di Pachino;4.5;Sfuso
Pomodori Cuore Di Bue;4.5;Sfuso
Pomodori Cuore Di Bue Bio;1;
Pomodori Cupido;1;
Pomodori Datterino;4.5;Sfuso
Pomodori Datterino Bio;1;
Pomodori Datterino Gialli;4.5;Sfuso
Pomodori Edioso;1;
Pomodori Fragolino;1;
Pomodori Grappolo Rosso;4.5;Sfuso
Pomodori Grappolo Rosso Bio;1;
Pomodori Insalataro Bio;1;
Pomodori Insalataro Tondi Verdi;4.5;Sfuso
Pomodori Kumato;1;
Pomodori Marinda;1;
Pomodori Marzanino;4.5;Sfuso
Pomodori Merendino;1;
Pomodori Mini Oblungo / Mini Plum;4.5;Sfuso
Pomodori Mini San Marzano;4.5;Sfuso
Pomodori Oblungo / Allungato Rosso;4.5;Sfuso
Pomodori Oblungo / Allungato Verde;4.5;Sfuso
Pomodori Oblungo Rosso  Bio;1;
Pomodori Oblungo Verde Bio;1;
Pomodori Perino Rosso;4.5;Sfuso
Pomodori Perino Rosso Bio;1;
Pomodori Perino Verde;4.5;Sfuso
Pomodori Piccadilly;4.5;Sfuso
Pomodori Pomilio;1;
Pomodori Regina;1;
Pomodori Ripieni;1;
Pomodori Riso;4.5;Sfuso
Pomodori San Marzano;4.5;Sfuso
Pomodori Secchi;1;
Pomodori Secchi Gastronomia;1;
Pomodori Torpedino;4.5;Sfuso
Pomodori Vesuviano;1;
Pomodorini Sardegna;4.5;Sfuso
Pomodoro Confetto;1;
Pomodoro Kamarino;1;
Pomodoro Zebrino Ovale;1;
Pompelmi Bianchi / Gialli;1;
Pompelmi Rossi / Rose';1;
Pont-L'Eveque;1;
Porchetta;1;
Porchetta Di Ariccia;1;
Porchetta Toscana;1;
Porri;1;
Porri Bio;1;
Porri Julienne / In Fili;1;
Portafoglio Alla Valdostana;1;
Prataiola Grande;1;
Prataiola Mignon;1;
Preparato Per Bollito B.A.;1;
Prezioso Al Tartufo;1;
Prezzemolo A Mazzo;1;
Prezzemolo Bio;1;
Prezzemolo In Vaso;1;
Primaticcio;1;
Primiero Fresco;1;
Primo Sale;1;
Primo Sale Con Capperi;1;
Primo Sale Con Noci;1;
Primo Sale Con Olive;1;
Primo Sale Con Origano;1;
Primo Sale Con Pepe;1;
Primo Sale Con Peperoncino;1;
Primo Sale Con Pistacchio;1;
Primo Sale Con Pomodori;1;
Primo Sale Con Rucola;1;
Primo Sale Con Zafferano;1;
Primo Sale Di Capra;1;
Primo Sale Di Pecora;1;
Principe Di Trinacria;1;
Prosciutto Cotto;7.17;
Prosciutto Cotto Alle Erbe;3.17;
Prosciutto Cotto Arrosto;3.17;
Prosciutto Cotto Di Culatello;1;
Prosciutto Cotto Di Culatello Di Zibello;1;
Prosciutto Cotto Di Norcia;3.17;
Prosciutto Cotto Estero;7.17;
Prosciutto Cotto Gran Biscotto;3.17;
Prosciutto Cotto Nazionale / Nostrano;7.17;
Prosciutto Cotto Orsetto;7.17;
Prosciutto Cotto Parigi;3.17;
Prosciutto Cotto Praga;3.17;
Prosciutto Crudo;5.49;
Prosciutto Crudo Affumicato;5.49;
Prosciutto Crudo Amatriciano;6.13;
Prosciutto Crudo Cinta Senese;6.13;
Prosciutto Crudo Conte Laceno;6.13;
Prosciutto Crudo Di Agnello;1;
Prosciutto Crudo Di Carpegna;6.13;
Prosciutto Crudo Di Culatello Di Zibello;6.13;
Prosciutto Crudo Di Desulo;6.13;
Prosciutto Crudo Di Suino Nero;6.13;
Prosciutto Crudo Emiliano;5.49;
Prosciutto Crudo Estero;5.49;
Prosciutto Crudo Fonni;5.49;
Prosciutto Crudo Foresta Nera;6.13;
Prosciutto Crudo Intero;5.49;
Prosciutto Crudo Marchigiano;6.13;
Prosciutto Crudo Nazionale / Nostrano;5.49;
Prosciutto Crudo Norcia;6.13;
Prosciutto Crudo Parma;6.13;
Prosciutto Crudo San Daniele;6.13;
Prosciutto Crudo Sauris;6.13;
Prosciutto Crudo Serrano;6.13;
Prosciutto Crudo Tivoli;5.49;
Prosciutto Crudo Toscano;6.13;
Prosciutto Crudo Val Liona;5.49;
Prosciutto Crudo Veneto Berico;6.13;
Prosciutto Di Cinghiale;1;
Prosciutto E Mozzarella;1;
Prosciutto Patanegra;1;
Prosciutto Sella Di Mastro Dante;1;
Provola Del Casaro;1;
Provola S'Ampulla;1;
Provola Sfoglia Di Montalbano;1;
Provoletta;1;
Provoletta Affumicata;1;
Provoletta Piccante;1;
Provolette Auricchio;1;
Provolone Del Monaco;1;
Provolone Dolce;1;
Provolone Dolce Auricchio;1;
Provolone Piccante;1;
Provolone Piccante Auricchio;1;
Provolone Stravecchio;1;
Provolone Valpadana;1;
Prugne Bianche;1;
Prugne Nere President;1;
Prugne Nere Stanley / Allungate;1;
Prugne Nere Stanley Bio;1;
Prugne Rosse Metis;1;
Prugne Secche Con Nocciolo;1;
Prugne Secche Denocciolate;1;
Prugne Secche Denocciolate Bio;1;
Puenton;1;
Punta A Fette B.A.;1;
Punta A Fette C/O Scottona B.A.;1;
Punta A Fette S/O Scottona B.A.;1;
Punta A Fette Vitello;1;
Punta Di Petto Intera B.A.;1;
Puntarelle Pulite;1;
Punte Di Asparagi;1;
Puzzone Di Moena;1;
Quadrotti;1;
Quaglia Intera / Busto;1;
Quarti Anteriore Cinghiale;1;
Quarti Anteriori Maialino;1;
Quarti Posteriori Cinghiale;1;
Quarti Posteriori Maialino;1;
Quarti Posteriori Pollo;11.03;
Quartino Rimacinato;1;
Quartirolo Lombardo;1;
Quartirolo Lombardo Stagionato;1;
Quarto Anteriore Agnello;1;
Quarto Posteriore Agnello;1;
Quinoa;1;
Raclette;1;
Radicchio Bianco Tondo;1;
Radicchio Cicorino;1;
Radicchio Cicorino E Porro;1;
Radicchio Cicorino Tagliato;1;
Radicchio Novello;1;
Radicchio Rosa;1;
Radicchio Rosso Lungo Precoce;1;
Radicchio Rosso Tondo;1;
Radicchio Semilungo Verona;1;
Radicchio Tardivo;1;
Radicchio Variegato;1;
Radicchio Variegato In busta;1;
Radicchio Verde Tagliato;1;
Radici Amare;1;
Rafano;1;
Ragu D'Anatra;1;
Ragu D'Astice;1;
Ragusano;1;
Ragusano Semistagionato;1;
Ragusano Stagionato;1;
Ramacchino;1;
Rambol Con Erbe;1;
Rambol Con Noci;1;
Rambol Con Salmone;1;
Rambutan;1;
Rape / Barbabietole Bianche;1;
Rape / Barbabietole Julienne / In Fili;1;
Rape / Barbabietole Nere;1;
Rape / Barbabietole Rosse;1;
Rape Lunghe / Daikon;1;
Raschera;1;
Raspadura;1;
Ravanelli;1;
Ravanelli In Busta;1;
Ravanelli Julienne In Busta;1;
Ravazzate Con Carne;1;
Razza;1;
Re Pastore;1;
Re Priamo;1;
Reale A Fette Equino;1;
Reblochon;1;
Regno Di Sardegna;1;
Rene B.A.;1;
Rene Cinghiale;1;
Rene Suino;1;
Rene Vitello;1;
Resteya;1;
Ribes;1;
Ricciola;1;
Ricotta  Mustia;5.97;
Ricotta Affumicata;5.97;
Ricotta Al Forno Dura;5.97;
Ricotta Al Forno Tenera;5.97;
Ricotta Con Cioccolato;5.97;
Ricotta Con Peperoncino;5.97;
Ricotta Con Pistacchio;5.97;
Ricotta Cuor Di Latte;5.97;
Ricotta Di Bufala;5.97;
Ricotta Di Capra;5.97;
Ricotta Di Fuscella Stagionata;5.97;
Ricotta Di Fusciella;5.97;
Ricotta Di Pecora;5.97;
Ricotta Di Pecora Al Forno;5.97;
Ricotta Di Pecora Marella;5.97;
Ricotta Di Pecora Stagionata;5.97;
Ricotta Favolosa;5.97;
Ricotta Gentile;5.97;
Ricotta Marzotica;5.97;
Ricotta Mista;5.97;
Ricotta Pugliese Forte;5.97;
Ricotta Romana;5.97;
Ricotta Rugiada Di Tuscia;5.97;
Ricotta Salata Di Capra;5.97;
Ricotta Salata Di Pecora;5.97;
Ricotta Salata Mista;5.97;
Ricotta Salata Piccante;5.97;
Ricotta Salata Vaccina;5.97;
Ricotta Scuete;5.97;
Ricotta Vaccina;5.97;
Rigatino Semistagionato;1;
Ritagli Pollo;1;
Robiola;1;
Robiola Bosina;1;
Robiola Cocona;1;
Robiola Con Rucola;1;
Robiola Di Capra;1;
Robiola Di Roccaverano;1;
Robiola Grignetta;1;
Rocamadour;1;
Rodez;1;
Rodez Grattuggiato;1;
Rombo Chiodato;0.6;
Rombo Di Grano Duro;1;
Rombo Liscio;0.6;
Rombolino;0.6;
Roquefort;1;
Roquefort Coulet;1;
Rosa Camuna;1;
Rosa E Monte;1;
Rosmarino Bio;1;
Rosmarino Foglie;1;
Rosmarino In Vaso;1;
Rospo / Rana Pescatrice;1;
Rosso Di Fattoria;1;
Roul├® Aglio E Erbe;1;
Roul├® Aglio E Erbe 1/2;1;
Roul├® Ananas 1/2;1;
Roul├® Cranberry 1/2;1;
Roverella;1;
Rucola;1;
Rucola E Radicchio Rosso;1;
Rucola E Songino / Valeriana;1;
Rucola In Busta;1;
Rucola In Busta Bio;1;
Rustico Dolce;1;
Rustico Salato;1;
Saint Agur;1;
Saint Aubin;1;
Salame;7.13;
Salame / Salsiccia Al Mirto;1;
Salame / Salsiccia Al Tartufo;1;
Salame / Salsiccia Piccante Dritta / Classica;1;
Salame / Salsiccia Sarda Dritta / Classica;1;
Salame / Salsiccia Secca Affumicata;1;
Salame / Salsiccia Secca Aromatizzata;1;
Salame / Salsiccia Secca Curva;1;
Salame / Salsiccia Secca Di Desulo;1;
Salame / Salsiccia Secca Di Fonni;1;
Salame / Salsiccia Secca Dritta / Classica;1;
Salame / Salsiccia Secca Piccante Curva;1;
Salame / Salsiccia Secca Sarda Curva;1;
Salame / Salsiccia Ticinetto;1;
Salame All'Aglio;1.64;
Salame Ascolano;1.64;
Salame Bergamasco;1;
Salame Biroldo;1;
Salame Borsotto;1;
Salame Brianza;1;
Salame Cacciatore;1;
Salame Campagnolo;7.13;
Salame Corallina;7.13;
Salame Cotto;1;
Salame Cremonese;1.64;
Salame Del Nonno;1;
Salame Del Pastore;1;
Salame Di Cinghiale;1;
Salame Di Suino Nero;1;
Salame Di Trippa;1;
Salame Di Varzi;1;
Salame Dolce;7.13;
Salame Equino;1;
Salame Etrusco;1.64;
Salame Fabriano;1.64;
Salame Felino;1.64;
Salame Fiaschetta;1;
Salame Finocchiona;7.13;
Salame Finocchiona Intero / Trancio;7.13;
Salame Fiocco Delicato;7.13;
Salame Garfagnino;1;
Salame Golfetta;1;
Salame Intero;7.13;
Salame Lardellato;1;
Salame Mantovano;1.64;
Salame Mantovano Crespone;1.64;
Salame Milano;7.13;
Salame Mondiola;1;
Salame Napoli;7.13;
Salame Nduja;1;
Salame Negronetto;1;
Salame Norcia / Nursino;1.64;
Salame Nostrano / Nazionale;7.13;
Salame Paesanella;7.13;
Salame Palla Di Nola;1.64;
Salame Perugino;1.64;
Salame Piacentino;1.64;
Salame Piccante;7.13;
Salame Piemontese;1.64;
Salame Rosa;7.13;
Salame Sant'Angelo;1;
Salame Spagnolo / Alle Erbe;1.64;
Salame Spianata Abruzzese;1;
Salame Spianata Calabrese;7.13;
Salame Spianata Piccante;7.13;
Salame Spianata Romana;7.13;
Salame Spianata Romana Piccante;7.13;
Salame Toscano;1.64;
Salame Toscano Intero / Trancio;1.64;
Salame Ungherese;7.13;
Salame Vasco;1;
Salame Veneto Con Aglio;1.64;
Salame Veneto Dolce;1.64;
Salame Ventricina;1;
Salame Ventricina Piccante;1;
Salamella / Luganega B.A.;1;
Salamella / Luganega Cinghiale;1;
Salamella / Luganega Pollo;1;
Salamella / Luganega Pollo E Suino;1;
Salamella / Luganega Pollo E Tacchino;1;
Salamella / Luganega Suino;6.72;
Salamella / Luganega Tacchino;1;
Salamella / Luganica Equino;1;
Salamella Romana;1;
Salamella Ternana;1;
Salmone Affumicato;1;
Salmone Argentato;1;
Salmone Intero;7.38;
Salpa;1;
Salsa Tonnata;1;
Salsiccia / Salamella Suino E Vitello;1;
Salsiccia / Salamella Umbra Suino;6.72;
Salsiccia / Salamella Vitello ;1;
Salsiccia Legata A Pezzi Cinghiale;1;
Salsiccia Legata B.A.;1;
Salsiccia Legata Calabra Suino;6.72;
Salsiccia Legata Coniglio;1;
Salsiccia Legata Di Fegato Suino;6.72;
Salsiccia Legata Di Prosciutto Suino;6.72;
Salsiccia Legata Mantovana Suino;6.72;
Salsiccia Legata Mignon Suino;6.72;
Salsiccia Legata Norcia Suino;6.72;
Salsiccia Legata Pollo;1;
Salsiccia Legata Pollo E Suino;1;
Salsiccia Legata Pollo E Tacchino;1;
Salsiccia Legata Pollo Suino E Tacchino;1;
Salsiccia Legata Punta Di Coltello Suino;6.72;
Salsiccia Legata Suino;6.72;
Salsiccia Legata Suino E B.A;1;
Salsiccia Legata Suino E Pollo;1;
Salsiccia Legata Suino E Tacchino;1;
Salsiccia Legata Suino Pollo E Tacchino;1;
Salsiccia Legata Tacchino;1;
Salsiccia Legata Verzino Dolce Suino;6.72;
Salsiccia Legata Zampina Suino;6.72;
Salsiccia Secca Romana Curva;1;
Saltimbocca Alla Romana;1;
Salva Cremasco;1;
Salvia Bio;1;
Salvia in Vaso;1;
San Pietro;1;
San Pio X;1;
San Platano;1;
Sanguinaccio Suino;1;
Sapodilla / Sapotiglia;1;
Saporone Di Montagna;1;
Sarago;1;
Sarde / Sardine;4.91;
Sarde / Sardine Condite;1;
Sarde / Sardine Pulite;4.91;
Sarde / Sardine Salate;1;
Sarde In Agrodolce;1;
Sardine Sott'Olio Gastronomia;1;
Sashimi Di Salmone;1;
Sashimi Di Tonno;1;
Sauro;1;
Sbrinz;1;
Scalogno;1;
Scalogno Banana;1;
Scalogno Bio;1;
Scaloppe B.A.;1;
Scaloppe Piemontese B.A;1;
Scaloppe Pollo;1;
Scaloppe Scottona B.A.;1;
Scaloppe Vitello;1;
Scaloppine Ai Funghi Gastronomia;1;
Scamone Equino;1;
Scamone Puledro;1;
Scamone Vitello;1;
Scamorza / Provola;1.61;
Scamorza / Provola Affumicata;1.61;
Scamorza / Provola Affumicata Al Limone;1;
Scamorza / Provola Al Limone;1;
Scamorza / Provola Dei Nebrodi;1.61;
Scamorza / Provola Di Bufala;1;
Scamorza / Provola Semistagionata;1.61;
Scamorza / Provola Stagionata;1.61;
Scamorza Stick;1;
Scamorza Stick Affumicata;1;
Scamorza Treccia / Treccina / Treccione;1.61;
Scamorza Treccia Affumicata;1.61;
Scampi Grandi;1;
Scampi Medi;1;
Scampi Piccoli;1;
Scaramella / Corazza B.A.;1;
Schiacciata Affumicata;1;
Schiz;1;
Sciabola;1;
Sciarrano;1;
Scimudin;1;
Scorfano;1;
Scorfano Nero;1;
Scuete Fumade;1;
Sedano Bianco;1;
Sedano Bianco Bio;1;
Sedano Rapa;1;
Sedano Verde;1;
Sedano Verde Bio;1;
Segale;1;
Sella maialino;1;
Selle Coniglio;1;
Selle Quglia;1;
Semi Cumino;1;
Semi Di Anice;1;
Semi Di Canapa;1;
Semi Di Chia;1;
Semi Di Finocchio;1;
Semi Di Girasole;1;
Semi Di Lino;1;
Semi di Papavero;1;
Semi Di Sesamo;1;
Semi Di Zucca;1;
Semi Di Zucca Sgusciati;1;
Semi Di Zucca Tostati;1;
Semolino Dolce Fritto;1;
Semuda;1;
Seppia Gratinata;1;
Seppia Grigliata;1;
Seppia Nera;4.22;
Seppia Piccola / Seppiolina;4.22;
Seppia Pulita;4.22;
Seppie Con Piselli Gastronomia;1;
Serenella;1;
Sesamo Bio;1;
Sfilacci B.A.;1;
Sfilacci Equino ;1;
Sfilatino Di Grano Duro;1;
Sfilatino Morbido;1;
Sfincione;1;
Sgombro;3.82;
Silter;1;
Sior Moro De Selva;1;
Sogliola Eviscerata Grande;1;
Sogliola Eviscerata Media;1;
Sogliola Intera Grande;1;
Sogliola Intera Media;1;
Soia Gialla;1;
Soia Gialla Bio;1;
Sola;1;
Sole Di Sardegna;1;
Soligo;1;
Songino Bio;1;
Songino E Radicchio;1;
Songino E Radicchio Bio;1;
Soppressa;1;
Soppressa Equina;1;
Soppressa Veneta All'Aglio;1;
Soppressa Veneta Dolce;1;
Soppressata Dolce;1;
Soppressata Intera / Trancio;1;
Soppressata Irpina;1;
Soppressata Piccante;1;
Sopressa Vicentina;1;
Sorrisotti Pollo;1;
Sottofiletto B.A.;1;
Sottofiletto Vitello;1;
Sovracosce Di Pollo Gastronomia;1;
Sovracosce Impanate Pollo;1;
Sovracosce Pollo;6.59;
Sovracoscio Tacchino;0.78;
Spaccatina Di Pane;1;
Spalla A Tranci Cinghiale;1;
Spalla A Tranci Suino;1;
Spalla Abbacchio;1;
Spalla Agnello;1;
Spalla Con Osso Cinghiale;1;
Spalla Con Osso Suino;1;
Spalla Di San Secondo;1;
Spalla Maialino;1;
Spalla Tranci Coniglio;1;
Speciosa;1;
Speck;2.83;
Speck Cotto;1;
Speck Di Asiago;2.83;
Speck Di Cinghiale;1;
Speck Di Fesa;1;
Speck Equino;1;
Spezzatino Chianina B.A;1;
Spianata Di Ozieri;1;
Spianata Sarda;1;
Spiedini B.A.;1;
Spiedini Di Pesce Impanati;1;
Spiedini Di Pesce Misto;1;
Spiedini Di Pesce Spada;1;
Spiedini Di Sarde / Sardine;1;
Spiedini Misti Di Mare;1;
Spiedini Pollo;1;
Spiedini Pollo E Suino;1;
Spiedini Pollo E Tacchino;1;
Spiedini Pollo Tacchino E Suino;1;
Spiedini Suino;1;
Spiedini Tacchino;1;
Spighe;1;
Spigola / Branzino;7.1;
Spigola / Branzino Gaeta;2.41;
Spigola / Branzino Orbetello;2.41;
Spigola / Branzino Sicilia;2.41;
Spinaci;1;
Spinaci Bio;1;
Spinaci Cotti;1;
Spinaci In Busta;1;
Spinaci In Busta Bio;1;
Spinacine / Ortaiole Pollo;1;
Spinacine / Ortaiole Pollo E Tacchino;1;
Spinacine / Ortaiole Tacchino;1;
Spinacine Con Mozzarella Pollo;1;
Spinacino;1;
Spinarolo / Nocciolino;1;
Spressa;1;
Squacquerone;1;
Squaquerello;1;
Stanga;1;
Stella Alpina;1;
Stella Di Monte Fresco;1;
Stella Di Monte Semistagionato;1;
Stelvio / Stilfser;1;
Stilton;1;
Stinco Maiale Gastronomia;1;
Stinco Suino;1;
Stinco Vitello;1;
Storione Bianco;1;
Stracapra;1;
Straccetti B.A.;1;
Straccetti Black Angus B.A.;1;
Straccetti Chianina B.A.;1;
Straccetti Cinghiale;1;
Straccetti Conditi Pollo;1;
Straccetti Danese B.A.;1;
Straccetti Galletto;1;
Straccetti Pollo;1;
Straccetti Scottona B.A.;1;
Straccetti Struzzo;1;
Straccetti Suino;1;
Straccetti Tacchino;1;
Straccetti Vitello;1;
Stracchino;1;
Stracchino Con Yogurt;1;
Stracchino Di Bufala;1;
Stracchino Di Capra;1;
Stracchino Light;1;
Stracchino Probiotico;1;
Stracciatella;1;
Stracco Di Capra;1;
Strachi Del Belo Ecc;1;
Strachitunt;1;
Strisce Di Totano;5.17;
Strolghino;1;
Strutto;1;
Stuzzichini Di Prosciutto Cotto;1;
Suino In Parti / A Pezzi;1;
Suppl├¼;1;
Surimi;1;
Surimi Di Granchio;1;
Suro;1;
Susine / Prugne Angeleno;1;
Susine Gialle / Prugne Gialle;1;
Susine Gialle / Prugne Gialle Bio;1;
Susine Gialle Supreme;1;
Susine Nere / Prugne Nere;1;
Susine Nere / Prugne Nere Bio;1;
Susine Rosse / Prugne Rosse;1;
Susine Rosse / Prugne Rosse Bio;1;
Tacchino In Parti / A Pezzi;1;
Tacchino In Parti / A Pezzi Condito;1;
Tagliata B.A.;1;
Tagliata Black Angus B.A.;1;
Tagliata Chianina B.A.;1;
Tagliata Cinghiale;1;
Tagliata Danese B.A.;1;
Tagliata Equino;1;
Tagliata Piemontese B.A.;1;
Tagliata Pollo;1;
Tagliata Scottona B.A.;1;
Tagliata Struzzo;1;
Tagliata Suino;1;
Tagliata Tacchino;1;
Tagliata Vitello;1;
Tal├¿;1;
Taleggio;1.2;
Tamarindo;1;
Tamburino;1;
Tanuta / Cantaro;1;
Taragna;1;
Tartare B.A. ;1;
Tartare Di Pesce Spada;1;
Tartare Di Salmone;1;
Tartare Di Tonno;1;
Tartare DI Tonno A Pinne Gialle;1;
Tartarughe;1;
Tartufella Di Norcia;1;
Tartufo Di Mare;1;
Telline;1;
Tenerelle Pollo;1;
Tenerone B. A.;1;
Tenerumi Di Zucchine;1;
Testa Agnello ;1;
Testa Cinghiale;1;
Testa Di Salmone;1;
Testa Maialino;1;
Testadura;1;
Testina B. A.;1;
Testina Coniglio;1;
Testina Vitello;1;
Testun Al Barolo;1;
Testun Vacca E Pecora;1;
Tete De Moine;1;
Timo;1;
Tiu Bore;1;
Toma Al Tartufo;1;
Toma Alla Birra;1;
Toma Alta Valle;1;
Toma Bergamasca;1;
Toma Biellese;1;
Toma Blu;1;
Toma Del Monte;1;
Toma Del Mottarone;1;
Toma Di Capra;1;
Toma Di Gressoney;1;
Toma Di Grotta;1;
Toma Di Lanzo;1;
Toma Maccagno;1;
Toma Monte Corna;1;
Toma Piemontese;1;
Toma Piemontese Piccante;1;
Tombarello / Viso;1;
Tomino A Rotolo;1;
Tomino Classico;1;
Tomino Con Erbe;1;
Tomino Con Peperoncino;1;
